sectorName,symbol,name,announced,eligibility_date,distribution_date,distribution_way,dividend_per_share
Capital Goods,2040,SAUDI CERAMICS,23/02/2023,14/03/2023,28/03/2023,تحويل للحساب,0.5
Capital Goods,2040,SAUDI CERAMICS,13/07/2022,01/08/2022,14/08/2022,تحويل للحساب,0.5
Capital Goods,2040,SAUDI CERAMICS,17/02/2022,21/02/2022,03/03/2022,تحويل للحساب,0.75
Capital Goods,2040,SAUDI CERAMICS,27/07/2021,01/08/2021,15/08/2021,تحويل للحساب,0.75
Capital Goods,2040,SAUDI CERAMICS,29/12/2016,19/04/2017,08/05/2017,تحويل للحساب,1
Capital Goods,2110,SAUDI CABLE,30/04/2011,07/06/2011,09/07/2011,تحويل للحساب,0.375
Capital Goods,2110,SAUDI CABLE,30/04/2011,07/06/2011,18/12/2011,تحويل للحساب,0.375
Capital Goods,2110,SAUDI CABLE,20/03/2010,24/04/2010,24/05/2010,تحويل للحساب,0.75
Capital Goods,2110,SAUDI CABLE,07/03/2009,16/04/2009,17/05/2009,تحويل للحساب,0.75
Capital Goods,2110,SAUDI CABLE,11/03/2008,09/04/2008,18/05/2008,تحويل للحساب,0.75
Capital Goods,2160,AMIANTIT,14/02/2016,04/04/2016,14/04/2016,تحويل للحساب,0.65
Capital Goods,2160,AMIANTIT,06/02/2014,20/03/2014,03/04/2014,تحويل للحساب,1
Capital Goods,2160,AMIANTIT,03/02/2013,09/03/2013,20/03/2013,تحويل للحساب,1
Capital Goods,2160,AMIANTIT,01/02/2012,29/02/2012,10/03/2012,تحويل للحساب,1.25
Capital Goods,2160,AMIANTIT,28/12/2010,27/02/2011,09/03/2011,تحويل للحساب,1.5
Capital Goods,2320,ALBABTAIN,02/04/2023,01/06/2023,19/06/2023,تحويل للحساب,0.5
Capital Goods,2320,ALBABTAIN,30/03/2022,08/05/2022,25/05/2022,تحويل للحساب,0.5
Capital Goods,2320,ALBABTAIN,31/12/2020,21/01/2021,09/02/2021,تحويل للحساب,1
Capital Goods,2320,ALBABTAIN,02/03/2020,09/03/2020,26/03/2020,تحويل للحساب,0.5
Capital Goods,2320,ALBABTAIN,11/11/2019,20/11/2019,08/12/2019,تحويل للحساب,0.5
Capital Goods,2360,SVCP,11/11/2020,30/11/2020,14/12/2020,تحويل للحساب,1
Capital Goods,2360,SVCP,22/12/2019,31/12/2019,08/01/2020,تحويل للحساب,1
Capital Goods,2360,SVCP,24/12/2017,31/12/2017,21/01/2018,تحويل للحساب,1.5
Capital Goods,2360,SVCP,25/09/2017,28/09/2017,19/10/2017,تحويل للحساب,1.5
Capital Goods,2360,SVCP,18/01/2017,31/01/2017,15/02/2017,تحويل للحساب,1
Capital Goods,2370,MESC,19/01/2010,22/03/2010,31/03/2010,تحويل للحساب,1
Capital Goods,2370,MESC,25/01/2009,31/03/2009,22/04/2009,تحويل للحساب,1.2
Capital Goods,2370,MESC,19/02/2008,16/07/2008,04/08/2008,تحويل للحساب,0.5
Capital Goods,4140,SIECO,10/01/2012,02/04/2012,22/04/2012,تحويل للحساب,0.5
Capital Goods,4140,SIECO,17/12/2008,23/03/2009,20/04/2009,تحويل للحساب,1
Capital Goods,4140,SIECO,11/02/2007,18/04/2007,09/05/2007,تحويل للحساب,1
Capital Goods,4140,SIECO,20/02/2005,05/04/2005,07/05/2005,استلام شخصي,5
Capital Goods,4140,SIECO,19/03/2004,25/04/2004,25/05/2004,استلام شخصي,2.5
Capital Goods,4141,ALOMRAN,10/05/2022,19/06/2022,29/06/2022,تحويل للحساب,0.75
Capital Goods,4142,RIYADH CABLES,12/03/2023,20/06/2023,13/07/2023,تحويل للحساب,1.5
Commercial & Professional Svc,1831,MAHARAH,07/03/2023,12/03/2023,22/03/2023,تحويل للحساب,1
Commercial & Professional Svc,1831,MAHARAH,30/08/2022,04/09/2022,14/09/2022,تحويل للحساب,1.25
Commercial & Professional Svc,1831,MAHARAH,13/03/2022,17/03/2022,29/03/2022,تحويل للحساب,2
Commercial & Professional Svc,1831,MAHARAH,17/08/2021,22/08/2021,02/09/2021,تحويل للحساب,1.75
Commercial & Professional Svc,1831,MAHARAH,17/03/2021,21/03/2021,05/04/2021,تحويل للحساب,2
Commercial & Professional Svc,1832,SADR,23/12/2020,27/04/2021,20/05/2021,تحويل للحساب,0.5
Commercial & Professional Svc,1832,SADR,21/11/2019,25/06/2020,16/07/2020,تحويل للحساب,0.5
Commercial & Professional Svc,1832,SADR,10/12/2018,09/05/2019,18/06/2019,تحويل للحساب,1.5
Commercial & Professional Svc,1832,SADR,28/12/2017,11/04/2018,29/04/2018,تحويل للحساب,1.5
Commercial & Professional Svc,4270,SPPC,10/02/2013,16/03/2013,13/04/2013,تحويل للحساب,0.5
Commercial & Professional Svc,4270,SPPC,05/02/2012,04/03/2012,25/03/2012,تحويل للحساب,0.5
Commercial & Professional Svc,4270,SPPC,15/02/2011,03/04/2011,01/05/2011,تحويل للحساب,0.5
Commercial & Professional Svc,4270,SPPC,11/01/2009,24/03/2009,14/04/2009,تحويل للحساب,1.5
Commercial & Professional Svc,4270,SPPC,18/02/2008,25/03/2008,22/04/2008,تحويل للحساب,1
Commercial & Professional Svc,6004,CATERING,02/08/2023,10/08/2023,31/08/2023,تحويل للحساب,1
Commercial & Professional Svc,6004,CATERING,23/03/2023,02/04/2023,30/04/2023,تحويل للحساب,0.5
Commercial & Professional Svc,6004,CATERING,18/02/2020,12/03/2020,27/10/2020,تحويل للحساب,1.4
Commercial & Professional Svc,6004,CATERING,06/11/2019,21/11/2019,11/12/2019,تحويل للحساب,1.5
Commercial & Professional Svc,6004,CATERING,07/08/2019,22/08/2019,12/09/2019,تحويل للحساب,1.35
Transportation,2190,SISCO,10/04/2023,30/04/2023,16/05/2023,تحويل للحساب,0.4
Transportation,2190,SISCO,11/08/2022,21/08/2022,08/09/2022,تحويل للحساب,0.4
Transportation,2190,SISCO,02/03/2022,10/03/2022,27/03/2022,تحويل للحساب,0.4
Transportation,2190,SISCO,12/08/2021,03/11/2021,23/11/2021,تحويل للحساب,0.4
Transportation,2190,SISCO,28/02/2021,05/05/2021,31/05/2021,تحويل للحساب,0.8
Transportation,4031,SGS,31/07/2019,06/08/2019,02/09/2019,تحويل للحساب,1
Transportation,4031,SGS,28/03/2019,24/04/2019,08/05/2019,تحويل للحساب,0.8
Transportation,4031,SGS,11/07/2018,18/07/2018,06/08/2018,تحويل للحساب,1.3
Transportation,4031,SGS,17/04/2018,27/05/2018,11/06/2018,تحويل للحساب,0.65
Transportation,4031,SGS,12/11/2017,20/11/2017,04/12/2017,تحويل للحساب,0.65
Transportation,4040,SAPTCO,29/01/2018,29/04/2018,13/05/2018,تحويل للحساب,0.5
Transportation,4040,SAPTCO,24/01/2017,27/03/2017,10/04/2017,تحويل للحساب,0.5
Transportation,4040,SAPTCO,05/01/2016,11/04/2016,25/04/2016,تحويل للحساب,0.5
Transportation,4040,SAPTCO,27/01/2015,20/04/2015,03/05/2015,تحويل للحساب,0.75
Transportation,4040,SAPTCO,23/02/2015,20/04/2015,03/05/2015,تحويل للحساب,0.5
Transportation,4110,BATIC,14/05/2017,06/06/2017,20/06/2017,تحويل للحساب,0.25
Transportation,4110,BATIC,31/12/2014,11/05/2015,07/06/2015,تحويل للحساب,0.5
Transportation,4110,BATIC,13/07/2014,10/08/2014,20/08/2014,تحويل للحساب,0.5
Transportation,4110,BATIC,01/01/2014,07/04/2014,07/05/2014,تحويل للحساب,1
Transportation,4110,BATIC,28/02/2006,24/04/2006,11/06/2006,تحويل للحساب,0.8
Transportation,4260,BUDGET SAUDI,27/07/2023,24/08/2023,N/A,تحويل للحساب,0.5
Transportation,4260,BUDGET SAUDI,23/02/2023,13/04/2023,09/05/2023,تحويل للحساب,1.5
Transportation,4260,BUDGET SAUDI,31/07/2022,18/08/2022,01/09/2022,تحويل للحساب,0.5
Transportation,4260,BUDGET SAUDI,30/03/2022,17/05/2022,02/06/2022,تحويل للحساب,1.3
Transportation,4260,BUDGET SAUDI,22/08/2021,01/09/2021,20/09/2021,تحويل للحساب,0.6
Transportation,4261,THEEB,01/06/2023,01/06/2023,13/06/2023,تحويل للحساب,0.49
Transportation,4261,THEEB,29/03/2023,03/04/2023,13/04/2023,تحويل للحساب,0.59
Transportation,4261,THEEB,14/11/2022,15/11/2022,27/11/2022,تحويل للحساب,0.62
Transportation,4261,THEEB,30/08/2022,08/09/2022,20/09/2022,تحويل للحساب,0.5
Transportation,4261,THEEB,07/06/2022,21/06/2022,06/07/2022,تحويل للحساب,0.49
Consumer Durables & Apparel,1213,NASEEJ,20/02/2014,07/04/2014,29/04/2014,تحويل للحساب,0.5
Consumer Durables & Apparel,1213,NASEEJ,26/11/2012,01/04/2013,15/04/2013,تحويل للحساب,0.5
Consumer Durables & Apparel,1213,NASEEJ,16/02/2011,27/03/2011,13/04/2011,تحويل للحساب,1
Consumer Durables & Apparel,2340,ALABDULLATIF,28/02/2019,27/03/2019,10/04/2019,تحويل للحساب,0.25
Consumer Durables & Apparel,2340,ALABDULLATIF,08/03/2018,01/05/2018,14/05/2018,تحويل للحساب,0.5
Consumer Durables & Apparel,2340,ALABDULLATIF,08/02/2017,11/04/2017,04/05/2017,تحويل للحساب,0.5
Consumer Durables & Apparel,2340,ALABDULLATIF,25/02/2016,12/04/2016,02/05/2016,تحويل للحساب,0.3
Consumer Durables & Apparel,2340,ALABDULLATIF,17/11/2015,30/11/2015,10/12/2015,تحويل للحساب,1.25
Consumer Durables & Apparel,4011,LAZURDE,23/03/2023,19/06/2023,13/07/2023,تحويل للحساب,0.3
Consumer Durables & Apparel,4011,LAZURDE,17/03/2022,30/06/2022,28/07/2022,تحويل للحساب,0.25
Consumer Durables & Apparel,4011,LAZURDE,23/03/2017,10/04/2017,24/04/2017,تحويل للحساب,0.5
Consumer Durables & Apparel,4012,ALASEEL,19/07/2023,24/07/2023,N/A,تحويل للحساب,0.0875
Consumer Durables & Apparel,4012,ALASEEL,28/02/2023,21/03/2023,04/04/2023,تحويل للحساب,0.75
Consumer Durables & Apparel,4012,ALASEEL,28/07/2022,03/08/2022,17/08/2022,تحويل للحساب,0.75
Consumer Durables & Apparel,4012,ALASEEL,21/02/2022,12/04/2022,26/04/2022,تحويل للحساب,0.75
Consumer Durables & Apparel,4012,ALASEEL,15/07/2021,19/09/2021,30/09/2021,تحويل للحساب,0.75
Consumer Durables & Apparel,4180,FITAIHI GROUP,01/01/2023,04/05/2023,18/05/2023,تحويل للحساب,0.4
Consumer Durables & Apparel,4180,FITAIHI GROUP,07/11/2021,14/11/2021,30/11/2021,تحويل للحساب,0.5
Consumer Durables & Apparel,4180,FITAIHI GROUP,07/03/2021,11/03/2021,31/03/2021,تحويل للحساب,0.2
Consumer Durables & Apparel,4180,FITAIHI GROUP,11/11/2020,17/11/2020,07/12/2020,تحويل للحساب,0.2
Consumer Durables & Apparel,4180,FITAIHI GROUP,05/08/2019,08/08/2019,29/08/2019,تحويل للحساب,0.2
Consumer Services,1810,SEERA,03/05/2017,18/02/2018,25/02/2018,تحويل للحساب,0.5
Consumer Services,1810,SEERA,03/05/2017,17/08/2017,24/08/2017,تحويل للحساب,0.5
Consumer Services,1810,SEERA,06/08/2014,17/08/2014,08/09/2014,تحويل للحساب,2
Consumer Services,1810,SEERA,03/02/2014,06/02/2014,26/02/2014,تحويل للحساب,2
Consumer Services,1810,SEERA,24/07/2013,18/08/2013,08/09/2013,تحويل للحساب,2
Consumer Services,1820,ALHOKAIR GROUP,22/01/2017,02/02/2017,14/02/2017,تحويل للحساب,0.65
Consumer Services,1820,ALHOKAIR GROUP,28/07/2016,11/08/2016,05/10/2016,تحويل للحساب,0.65
Consumer Services,1820,ALHOKAIR GROUP,24/02/2016,10/03/2016,09/05/2016,تحويل للحساب,1.25
Consumer Services,1820,ALHOKAIR GROUP,15/07/2015,02/08/2015,11/10/2015,تحويل للحساب,1.25
Consumer Services,1820,ALHOKAIR GROUP,22/02/2015,19/03/2015,06/05/2015,تحويل للحساب,1.25
Consumer Services,1830,FITNESS TIME,31/07/2023,03/08/2023,15/08/2023,تحويل للحساب,0.75
Consumer Services,1830,FITNESS TIME,16/05/2023,21/05/2023,31/05/2023,تحويل للحساب,0.64
Consumer Services,1830,FITNESS TIME,12/03/2023,14/03/2023,27/03/2023,تحويل للحساب,1.11
Consumer Services,1830,FITNESS TIME,31/10/2022,06/11/2022,20/11/2022,تحويل للحساب,0.7
Consumer Services,1830,FITNESS TIME,07/08/2022,09/08/2022,24/08/2022,تحويل للحساب,0.37
Consumer Services,4010,DUR,19/02/2020,12/04/2020,26/04/2020,تحويل للحساب,0.5
Consumer Services,4010,DUR,14/03/2019,12/05/2019,23/05/2019,تحويل للحساب,0.25
Consumer Services,4010,DUR,08/08/2018,16/08/2018,06/09/2018,تحويل للحساب,0.25
Consumer Services,4010,DUR,27/02/2018,29/03/2018,12/04/2018,تحويل للحساب,0.3
Consumer Services,4010,DUR,30/07/2017,02/08/2017,15/08/2017,تحويل للحساب,0.4
Consumer Services,4170,TECO,04/03/2002,30/03/2002,01/04/2002,بالبريد,2.5
Consumer Services,4170,TECO,24/07/2000,02/08/2000,01/09/2000,تحويل للحساب,2.5
Consumer Services,4290,ALKHALEEJ TRNG,30/03/2021,25/05/2021,13/06/2021,تحويل للحساب,0.25
Consumer Services,4290,ALKHALEEJ TRNG,26/03/2020,05/05/2020,19/05/2020,تحويل للحساب,0.25
Consumer Services,4290,ALKHALEEJ TRNG,28/03/2018,24/04/2018,23/05/2018,تحويل للحساب,0.5
Consumer Services,4290,ALKHALEEJ TRNG,21/02/2017,16/04/2017,15/05/2017,تحويل للحساب,0.5
Consumer Services,4290,ALKHALEEJ TRNG,17/02/2016,26/04/2016,29/05/2016,تحويل للحساب,1
Consumer Services,4291,NCLE,16/11/2022,28/12/2022,08/01/2023,تحويل للحساب,1.2
Consumer Services,4291,NCLE,18/11/2021,09/01/2022,20/01/2022,تحويل للحساب,0.8
Consumer Services,4291,NCLE,22/11/2020,13/01/2021,24/01/2021,تحويل للحساب,0.8
Consumer Services,4291,NCLE,06/11/2019,25/12/2019,14/01/2020,تحويل للحساب,0.8
Consumer Services,4291,NCLE,29/11/2018,20/02/2019,07/03/2019,تحويل للحساب,0.4
Consumer Services,4292,ATAA,07/12/2022,18/01/2023,29/01/2023,تحويل للحساب,1
Consumer Services,4292,ATAA,29/09/2021,07/11/2021,21/11/2021,تحويل للحساب,1
Consumer Services,4292,ATAA,26/10/2020,11/01/2021,26/01/2021,تحويل للحساب,1
Consumer Services,4292,ATAA,30/10/2019,20/01/2020,29/01/2020,تحويل للحساب,1
Consumer Services,6002,HERFY FOODS,16/03/2023,08/05/2023,24/05/2023,تحويل للحساب,0.5
Consumer Services,6002,HERFY FOODS,09/03/2021,25/04/2021,10/05/2021,تحويل للحساب,1
Consumer Services,6002,HERFY FOODS,12/03/2020,20/04/2020,07/05/2020,تحويل للحساب,1.1
Consumer Services,6002,HERFY FOODS,12/09/2019,10/10/2019,24/10/2019,تحويل للحساب,1
Consumer Services,6002,HERFY FOODS,12/03/2019,30/04/2019,13/05/2019,تحويل للحساب,1.1
Consumer Services,6012,RAYDAN,03/06/2018,26/06/2018,10/07/2018,تحويل للحساب,0.5
Consumer Services,6014,ALAMAR,14/05/2023,23/05/2023,05/06/2023,تحويل للحساب,0.5
Consumer Services,6014,ALAMAR,26/03/2023,03/04/2023,13/04/2023,تحويل للحساب,1
Consumer Services,6014,ALAMAR,16/11/2022,27/11/2022,12/12/2022,تحويل للحساب,0.7
Consumer Services,6014,ALAMAR,22/08/2022,30/08/2022,20/09/2022,تحويل للحساب,1.69
Consumer Services,6015,AMERICANA,23/02/2023,04/04/2023,N/A,تحويل للحساب,0.0461
Media and Entertainment,4070,TAPRCO,22/05/2011,08/08/2011,03/10/2011,تحويل للحساب,1.5
Media and Entertainment,4070,TAPRCO,02/06/2009,26/08/2009,06/10/2009,تحويل للحساب,1.2
Media and Entertainment,4070,TAPRCO,15/07/2008,22/09/2008,01/11/2008,تحويل للحساب,1
Media and Entertainment,4070,TAPRCO,12/05/2007,26/09/2007,20/11/2007,تحويل للحساب,0.75
Media and Entertainment,4070,TAPRCO,24/07/2005,26/09/2005,26/10/2005,استلام شخصي,3
Media and Entertainment,4071,ALARABIA,21/05/2023,21/06/2023,13/07/2023,تحويل للحساب,0.4
Media and Entertainment,4071,ALARABIA,04/09/2022,04/10/2022,19/10/2022,تحويل للحساب,1.9
Media and Entertainment,4071,ALARABIA,07/03/2022,10/05/2022,19/05/2022,تحويل للحساب,1.86
Media and Entertainment,4210,SRMG,11/02/2013,17/03/2013,08/04/2013,تحويل للحساب,1
Media and Entertainment,4210,SRMG,06/02/2012,05/03/2012,25/03/2012,تحويل للحساب,1
Media and Entertainment,4210,SRMG,16/02/2011,18/04/2011,07/05/2011,تحويل للحساب,1
Media and Entertainment,4210,SRMG,24/02/2010,25/04/2010,15/05/2010,تحويل للحساب,0.5
Media and Entertainment,4210,SRMG,30/12/2008,25/03/2009,15/04/2009,تحويل للحساب,2
Retailing,1214,SHAKER,17/10/2016,03/11/2016,23/11/2016,تحويل للحساب,0.75
Retailing,1214,SHAKER,20/11/2014,30/11/2014,15/12/2014,تحويل للحساب,2.5
Retailing,1214,SHAKER,21/01/2014,03/04/2014,27/04/2014,تحويل للحساب,2.5
Retailing,1214,SHAKER,17/10/2012,28/11/2012,10/12/2012,تحويل للحساب,4
Retailing,1214,SHAKER,19/10/2011,30/11/2011,05/12/2011,تحويل للحساب,3.5
Retailing,4003,EXTRA,31/07/2023,02/08/2023,20/08/2023,تحويل للحساب,1.5
Retailing,4003,EXTRA,13/04/2023,18/05/2023,04/06/2023,تحويل للحساب,2
Retailing,4003,EXTRA,09/08/2022,11/08/2022,25/08/2022,تحويل للحساب,2.5
Retailing,4003,EXTRA,08/03/2022,14/04/2022,28/04/2022,تحويل للحساب,2.5
Retailing,4003,EXTRA,12/07/2021,15/07/2021,05/08/2021,تحويل للحساب,2
Retailing,4008,SACO,14/03/2021,28/03/2021,11/04/2021,تحويل للحساب,0.75
Retailing,4008,SACO,26/07/2020,16/08/2020,30/08/2020,تحويل للحساب,0.5
Retailing,4008,SACO,23/07/2019,29/08/2019,11/09/2019,تحويل للحساب,1
Retailing,4008,SACO,27/02/2019,03/04/2019,17/04/2019,تحويل للحساب,1
Retailing,4008,SACO,23/07/2018,04/09/2018,19/09/2018,تحويل للحساب,1
Retailing,4050,SASCO,19/12/2022,25/12/2022,05/01/2023,تحويل للحساب,0.5
Retailing,4050,SASCO,05/09/2022,08/09/2022,21/09/2022,تحويل للحساب,0.5
Retailing,4050,SASCO,14/04/2022,14/06/2022,29/06/2022,تحويل للحساب,0.25
Retailing,4050,SASCO,28/12/2021,02/01/2022,17/01/2022,تحويل للحساب,0.2
Retailing,4050,SASCO,09/09/2021,19/09/2021,04/10/2021,تحويل للحساب,0.3
Retailing,4051,BAAZEEM,16/03/2023,02/05/2023,17/05/2023,تحويل للحساب,1.1
Retailing,4051,BAAZEEM,09/08/2022,16/08/2022,04/09/2022,تحويل للحساب,0.7
Retailing,4051,BAAZEEM,13/03/2022,09/05/2022,23/05/2022,تحويل للحساب,1.75
Retailing,4051,BAAZEEM,04/03/2021,22/04/2021,07/05/2021,تحويل للحساب,1.75
Retailing,4051,BAAZEEM,15/03/2020,16/04/2020,30/04/2020,تحويل للحساب,1.6
Retailing,4190,JARIR ,03/08/2023,07/08/2023,16/08/2023,تحويل للحساب,0.15
Retailing,4190,JARIR ,08/05/2023,15/05/2023,24/05/2023,تحويل للحساب,2.05
Retailing,4190,JARIR ,15/03/2023,20/03/2023,29/03/2023,تحويل للحساب,2.2
Retailing,4190,JARIR ,09/11/2022,14/11/2022,23/11/2022,تحويل للحساب,2.25
Retailing,4190,JARIR ,04/08/2022,08/08/2022,17/08/2022,تحويل للحساب,1.45
Retailing,4191,ABO MOATI,27/07/2023,N/A,N/A,تحويل للحساب,0.5
Retailing,4191,ABO MOATI,27/07/2003,N/A,N/A,تحويل للحساب,0.5
Retailing,4191,ABO MOATI,28/07/2022,20/09/2022,10/10/2022,تحويل للحساب,0.5
